wallet_id,block_number,token_symbol,value,to_address,from_address
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17246956,USDC,50000.0,0x6795347e13f4c3b418939a89d2d40ace5ce89506,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17246951,USDC,50000.0,0x6797991e463aa6674278b0002e0d1bff31e89506,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17180583,$ USDCDrop.com <- Visit to claim,100000.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x55fe002aeff02f77364de339a1292923a15844b8
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17089853,USDC,1405.763025,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17089853,3Crv,1370.6400125309806,0x0000000000000000000000000000000000000000,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17057453,USDC,104943.327243,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x9008d19f58aabd9ed0d60971565aa8510560ab41
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047562,CRO,59159.88030848,0x71bdde97a4629bd55fc776da17daa28d350fc09a,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047555,CRO,23692.59638745,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa88800cd213da5ae406ce248380802bd53b47647
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047555,WETH,0.8014512698223927,0xd1742b3c4fbb096990c8950fa635aec75b30781a,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047554,CRO,9570.34713436,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa88800cd213da5ae406ce248380802bd53b47647
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047554,WETH,0.32354873017742924,0x7636a5bfd763cefec2da9858c459f2a9b0fe8a6c,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047553,CRO,11098.68719429,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa88800cd213da5ae406ce248380802bd53b47647
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047553,WETH,0.375,0x7636a5bfd763cefec2da9858c459f2a9b0fe8a6c,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047552,CRO,14798.24959238,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa88800cd213da5ae406ce248380802bd53b47647
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047552,WETH,0.5,0x7636a5bfd763cefec2da9858c459f2a9b0fe8a6c,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,17047548,WETH,2.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x1111111254eeb25477b68fb85ed929f73a960582
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16974084,ETH,0.054477,0xcc5243c8326360d74e3e1e01bf6e3571ffca0dc9,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16780109,USDC,68627.238339,0x227cbfc40fdab8764392b9882a1f2634c07d282b,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16780101,USDC,68215.012629,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa88800cd213da5ae406ce248380802bd53b47647
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16780101,DAI,68225.41155015532,0x7cea8a6da079dc7501d4eb2bbc937e70a2764cef,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16643740,USDC,0.0,0x205eee50bc84528cab4c4c7fe303e4989a78b8f1,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16643306,USDC,0.0,0x205e943e2772d708624f62a7686b6961122fb8f1,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16643303,USDC,100.0,0x205e94337bc61657b4b698046c3c2c5c1d2fb8f1,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16643297,USDC,512.22571,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa88800cd213da5ae406ce248380802bd53b47647
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16643297,WETH,0.3,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16643288,WETH,0.3,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x1111111254eeb25477b68fb85ed929f73a960582
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16535896,USDC,9999.378852,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16535886,USDC,9999.378852,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa88800cd213da5ae406ce248380802bd53b47647
